Target Number,Thickness Factor
1,0.8875001
2,0.95374817
3,0.99120814
4,1.011489
5,1.022014
6,1.0268587
7,1.0277998
8,1.0251781
9,1.0180603
10,1.0037256
11,0.9767435
12,0.92771393
13,0.93075544
14,0.9829337
15,1.0108167
16,1.025277
17,1.0326335
18,1.0359801
19,1.0365644
20,1.034576
21,1.0293131
22,1.0187
23,0.99809283
24,0.95883256
25,0.9609291
26,1.0021384
27,1.0231495
28,1.0337983
29,1.0392115
30,1.0416068
31,1.0419525
32,1.0404228
33,1.0363423
34,1.0281154
35,1.0119946
36,0.9800773
37,0.9814922
38,1.0146027
39,1.0309346
40,1.0391835
41,1.0431752
42,1.0444596
43,1.0445534
44,1.0437944
45,1.0407788
46,1.0340862
47,1.0209196
48,0.99427146
49,0.9952003
50,1.0225763
51,1.0358716
52,1.0424926
53,1.0446686
54,1.0436158
55,1.043327
56,1.0446076
57,1.0433747
58,1.0378504
59,1.0265433
60,1.0034131
61,1.0039924
62,1.0275546
63,1.0389446
64,1.0441791
65,1.0433707
66,1.0377223
67,1.0370095
68,1.0426608
69,1.0444902
70,1.0400968
71,1.0298789
72,1.0088718
73,1.0091878
74,1.0304236
75,1.0406797
76,1.0446593
77,1.0401567
78,1.0286041
79,1.0279151
80,1.0393816
81,1.0446683
82,1.0412034
83,1.031504
84,1.0114563
85,1.0115567
86,1.0316718
87,1.0413849
88,1.044642
89,1.038029
90,1.023862
91,1.023857
92,1.038029
93,1.044642
94,1.0413849
95,1.0316786
96,1.0115567
97,1.0114563
98,1.0314971
99,1.0412039
100,1.0446683
101,1.0393794
102,1.0279197
103,1.0285997
104,1.0401542
105,1.0446593
106,1.0406806
107,1.0304308
108,1.0091878
109,1.0088718
110,1.0298716
111,1.0400968
112,1.0444902
113,1.0426608
114,1.0370119
115,1.0377201
116,1.0433707
117,1.0441792
118,1.0389446
119,1.0275625
120,1.0039924
121,1.0034131
122,1.0265352
123,1.0378525
124,1.0433747
125,1.0446072
126,1.0433278
127,1.0436152
128,1.0446687
129,1.0424926
130,1.0358745
131,1.0225852
132,0.9952003
133,0.99427146
134,1.0209103
135,1.0340862
136,1.0407788
137,1.0437944
138,1.0445532
139,1.0444597
140,1.0431752
141,1.0391835
142,1.0309346
143,1.0146136
144,0.9814922
145,0.9800773
146,1.011983
147,1.0281209
148,1.0363423
149,1.0404261
150,1.041952
151,1.0416073
152,1.0392152
153,1.0337983
154,1.0231566
155,1.0021522
156,0.9609291
157,0.95883256
158,0.9980781
159,1.0187
160,1.0293131
161,1.034576
162,1.0365638
163,1.0359808
164,1.0326335
165,1.025277
166,1.0108167
167,0.9829518
168,0.93075544
169,0.92771393
170,0.9767242
171,1.0037396
172,1.0180603
173,1.0251869
174,1.0277989
175,1.0268595
176,1.022024
177,1.011489
178,0.99122596
179,0.9537713
180,0.8875001
