Target Number,Thickness Factor
1,0.8660268
2,0.9276819
3,0.9708832
4,0.9997787
5,1.0175326
6,1.0265949
7,1.0284278
8,1.023381
9,1.0105765
10,0.9880394
11,0.95304704
12,0.90192413
13,0.9048092
14,0.96046257
15,0.9987215
16,1.0235682
17,1.0381999
18,1.0452245
19,1.0464565
20,1.042264
21,1.031425
22,1.0116771
23,0.98008287
24,0.93303925
25,0.93528575
26,0.98575395
27,1.0196012
28,1.0406303
29,1.0519549
30,1.0565671
31,1.0571724
32,1.0543592
33,1.0459882
34,1.029048
35,1.000579
36,0.957004
37,0.958709
38,1.004785
39,1.0347011
40,1.051898
41,1.0590825
42,1.0601474
43,1.0600696
44,1.0598207
45,1.0550412
46,1.0412343
47,1.0155693
48,0.9749112
49,0.9761528
50,1.0185528
51,1.0449953
52,1.0580683
53,1.0596241
54,1.0554703
55,1.0547462
56,1.058827
57,1.0593443
58,1.0491527
59,1.0259858
60,0.98758644
61,0.988427
62,1.0279483
63,1.0514117
64,1.0601159
65,1.0548527
66,1.0449737
67,1.0440469
68,1.0532275
69,1.0601304
70,1.0537233
71,1.0325607
72,0.99570954
73,0.99619454
74,1.0336618
75,1.0548531
76,1.0597414
77,1.0485711
78,1.0367364
79,1.0364567
80,1.0473462
81,1.0593901
82,1.0558357
83,1.0358669
84,0.9997271
85,0.99988544
86,1.0362118
87,1.056168
88,1.059074
89,1.0453889
90,1.0365988
91,1.0366023
92,1.0453889
93,1.059074
94,1.056168
95,1.0362258
96,0.9998854
97,0.9997271
98,1.0358527
99,1.0558366
100,1.0593901
101,1.047343
102,1.0364583
103,1.0367347
104,1.0485669
105,1.0597414
106,1.0548546
107,1.0336763
108,0.99619454
109,0.99570954
110,1.0325463
111,1.0537233
112,1.0601304
113,1.0532275
114,1.0440497
115,1.0449708
116,1.0548527
117,1.0601159
118,1.0514119
119,1.0279634
120,0.988427
121,0.98758644
122,1.0259703
123,1.0491574
124,1.0593443
125,1.0588243
126,1.0547478
127,1.0554689
128,1.0596222
129,1.0580683
130,1.0450013
131,1.0185694
132,0.9761528
133,0.9749112
134,1.0155525
135,1.0412343
136,1.0550412
137,1.0598207
138,1.0600696
139,1.0601473
140,1.0590825
141,1.051898
142,1.0347011
143,1.004803
144,0.958709
145,0.957004
146,1.0005604
147,1.0290587
148,1.0459882
149,1.0543656
150,1.0571716
151,1.0565678
152,1.0519625
153,1.0406303
154,1.0196145
155,0.9857737
156,0.93528575
157,0.93303925
158,0.98006237
159,1.0116771
160,1.031425
161,1.042264
162,1.046455
163,1.0452259
164,1.0381999
165,1.0235682
166,0.9987215
167,0.96048456
168,0.9048092
169,0.90192413
170,0.95302445
171,0.98805934
172,1.0105765
173,1.0233976
174,1.0284263
175,1.0265967
176,1.0175506
177,0.9997787
178,0.9709066
179,0.9277062
180,0.86602676
