Target Number,Thickness Factor
1,0.7466934
2,0.9204749
3,1.0327268
4,1.0941374
5,1.1223304
6,1.1328919
7,1.1346452
8,1.1294911
9,1.1123543
10,1.0711282
11,0.98838603
12,0.8484937
13,0.85663664
14,1.0072639
15,1.0921932
16,1.1297
17,1.1412678
18,1.1420941
19,1.1417258
20,1.1422799
21,1.1371952
22,1.1140306
23,1.0539397
24,0.9351494
25,0.94125944
26,1.0663115
27,1.1249992
28,1.1420281
29,1.1370044
30,1.1254399
31,1.1227665
32,1.1323948
33,1.1418885
34,1.135206
35,1.0955913
36,0.9985291
37,1.0028512
38,1.1029675
39,1.1394854
40,1.137088
41,1.1095867
42,1.0793389
43,1.0741667
44,1.0990821
45,1.1306071
46,1.1421475
47,1.1196674
48,1.0421766
49,1.0450398
50,1.1236645
51,1.1421423
52,1.1177917
53,1.0607721
54,1.0104634
55,1.004519
56,1.0466549
57,1.1066196
58,1.1401521
59,1.1322788
60,1.0701818
61,1.0719347
62,1.1342001
63,1.1377678
64,1.0896537
65,1.0053699
66,0.9462907
67,0.94178545
68,0.9931916
69,1.0778155
70,1.1338427
71,1.1380515
72,1.086509
73,1.0874388
74,1.1388192
75,1.131127
76,1.0635068
77,0.9646802
78,0.8989712
79,0.89550555
80,0.95818967
81,1.0560057
82,1.1281518
83,1.1401613
84,1.0940429
85,1.0943325
86,1.140346
87,1.1269807
88,1.0504887
89,0.9483268
90,0.8707111
91,0.8706716
92,0.9483268
93,1.0504887
94,1.1269807
95,1.1403534
96,1.0943325
97,1.0940429
98,1.1401536
99,1.1281488
100,1.0560057
101,0.95817286
102,0.8955287
103,0.8989495
104,0.9646585
105,1.0635068
106,1.1311224
107,1.1388292
108,1.0874388
109,1.086509
110,1.1380409
111,1.1338427
112,1.0778155
113,0.9931916
114,0.94180006
115,0.9462763
116,1.0053699
117,1.0896536
118,1.1377678
119,1.1342144
120,1.0719347
121,1.0701818
122,1.1322628
123,1.1401484
124,1.1066196
125,1.0466131
126,1.0045319
127,1.0104507
128,1.060731
129,1.1177917
130,1.1421409
131,1.1236858
132,1.0450398
133,1.0421766
134,1.1196439
135,1.1421475
136,1.1306071
137,1.0990821
138,1.0741752
139,1.0793307
140,1.1095867
141,1.137088
142,1.1394854
143,1.1029981
144,1.0028512
145,0.9985291
146,1.0955578
147,1.1352155
148,1.1418885
149,1.1323789
150,1.1227701
151,1.1254365
152,1.1369927
153,1.1420281
154,1.1250156
155,1.0663538
156,0.94125944
157,0.9351494
158,1.0538943
159,1.1140304
160,1.1371952
161,1.1422799
162,1.1417263
163,1.142094
164,1.1412678
165,1.1297
166,1.0921932
167,1.007319
168,0.85663664
169,0.8484937
170,0.98832786
171,1.0711696
172,1.1123543
173,1.1295096
174,1.134644
175,1.1328938
176,1.122354
177,1.0941374
178,1.0327823
179,0.920542
180,0.7466934
