Target Number,Thickness Factor
1,0.92391384
2,1.1014808
3,1.2080684
4,1.2446303
5,1.2398596
6,1.2261004
7,1.222213
8,1.2319866
9,1.244895
10,1.2350988
11,1.1686546
12,1.0276382
13,1.0360119
14,1.1861178
15,1.2441355
16,1.2316751
17,1.1942459
18,1.1651171
19,1.1590214
20,1.1784766
21,1.2149808
22,1.24439
23,1.2242157
24,1.1163507
25,1.1225022
26,1.232301
27,1.2374755
28,1.1851485
29,1.1268482
30,1.0893035
31,1.082904
32,1.1091245
33,1.1613784
34,1.2208078
35,1.2449529
36,1.1781383
37,1.1821103
38,1.2458804
39,1.2057542
40,1.1272322
41,1.0568244
42,1.0134262
43,1.007153
44,1.0400087
45,1.1034623
46,1.1827366
47,1.2417347
48,1.2155598
49,1.2177408
50,1.238737
51,1.1662147
52,1.0721669
53,0.991746
54,0.93810594
55,0.9316692
56,0.976378
57,1.0518091
58,1.1443865
59,1.2273058
60,1.2345667
61,1.2355452
62,1.223269
63,1.13047
64,1.0266923
65,0.9325969
66,0.85767704
67,0.8506709
68,0.9190591
69,1.0115559
70,1.1141186
71,1.2119436
72,1.24231
73,1.2426447
74,1.208837
75,1.1050584
76,0.994811
77,0.8840377
78,0.7778983
79,0.7721439
80,0.8751331
81,0.9864817
82,1.0963871
83,1.2021179
84,1.2446079
85,1.2446759
86,1.201004
87,1.0932453
88,0.98049027
89,0.860772
90,0.7346844
91,0.73463035
92,0.860772
93,0.98049027
94,1.0932453
95,1.2009588
96,1.2446759
97,1.2446079
98,1.2021625
99,1.0963793
100,0.9864817
101,0.8751095
102,0.77218205
103,0.777862
104,0.8840087
105,0.994811
106,1.1050444
107,1.2087954
108,1.2426447
109,1.24231
110,1.2119837
111,1.1141186
112,1.0115559
113,0.9190591
114,0.8506941
115,0.8576551
116,0.9325969
117,1.0266923
118,1.13047
119,1.2232361
120,1.2355452
121,1.2345667
122,1.2273357
123,1.1443607
124,1.0518091
125,0.9763332
126,0.9316831
127,0.93809235
128,0.9917003
129,1.0721669
130,1.1661856
131,1.2387182
132,1.2177408
133,1.2155598
134,1.2417494
135,1.1827366
136,1.1034623
137,1.0400087
138,1.0071634
139,1.0134162
140,1.0568244
141,1.1272322
142,1.2057542
143,1.2458814
144,1.1821103
145,1.1781383
146,1.2449458
147,1.2207828
148,1.1613784
149,1.1090724
150,1.0829121
151,1.0892953
152,1.1267959
153,1.1851485
154,1.2374592
155,1.2323265
156,1.1225022
157,1.1163507
158,1.224184
159,1.2443899
160,1.214981
161,1.1784766
162,1.159028
163,1.1651108
164,1.1942459
165,1.2316751
166,1.2441355
167,1.1861674
168,1.0360119
169,1.0276382
170,1.1685998
171,1.2351218
172,1.244895
173,1.2319593
174,1.2222168
175,1.2260972
176,1.2398407
177,1.2446303
178,1.2081134
179,1.1015489
180,0.9239138
