Target Number,Thickness Factor
1,0.558093
2,0.72784597
3,0.846126
4,0.9339809
5,0.9972543
6,1.0336983
7,1.0414546
8,1.0204141
9,0.97130257
10,0.89662856
11,0.79654187
12,0.65784574
13,0.66574305
14,0.81692505
15,0.9304943
16,1.0211766
17,1.0848876
18,1.1175928
19,1.1233194
20,1.1037589
21,1.0544147
22,0.9753003
23,0.8727296
24,0.74231255
25,0.7483785
26,0.8896633
27,1.0053003
28,1.0961388
29,1.1478128
30,1.1638968
31,1.1651886
32,1.1571592
33,1.1211472
34,1.0441073
35,0.93663865
36,0.80738646
37,0.8120815
38,0.95087785
39,1.0689614
40,1.1475766
41,1.165737
42,1.149484
43,1.1454834
44,1.1619489
45,1.1594949
46,1.098952
47,0.98976177
48,0.8576598
49,0.86124897
50,1.0012028
51,1.116524
52,1.166346
53,1.1342305
54,1.0874671
55,1.0820466
56,1.1214446
57,1.1649497
58,1.1356457
59,1.0311497
60,0.8952413
61,0.8978184
62,1.0394118
63,1.1455342
64,1.156658
65,1.0828158
66,1.0405945
67,1.0387508
68,1.0720844
69,1.14833
70,1.1548334
71,1.0594144
72,0.9207035
73,0.9222666
74,1.0643055
75,1.1588695
76,1.1366138
77,1.050501
78,1.0278186
79,1.0267887
80,1.0465796
81,1.129994
82,1.1619562
83,1.0742261
84,0.9338096
85,0.93433493
86,1.0757931
87,1.1628822
88,1.124982
89,1.0415039
90,1.0154724
91,1.0154485
92,1.0415039
93,1.124982
94,1.1628822
95,1.0758564
96,0.934335
97,0.9338096
98,1.0741628
99,1.1619585
100,1.129994
101,1.0465701
102,1.0267959
103,1.0278124
104,1.0504872
105,1.1366138
106,1.1588748
107,1.0643702
108,0.9222666
109,0.9207035
110,1.0593499
111,1.1548334
112,1.14833
113,1.0720844
114,1.0387561
115,1.0405881
116,1.0828158
117,1.1566579
118,1.1455342
119,1.0394762
120,0.8978184
121,0.8952413
122,1.0310849
123,1.1356657
124,1.1649497
125,1.1214058
126,1.0820583
127,1.0874555
128,1.1341945
129,1.166346
130,1.1165524
131,1.001267
132,0.86124897
133,0.8576598
134,0.98969775
135,1.098952
136,1.1594949
137,1.1619489
138,1.1454902
139,1.149478
140,1.165737
141,1.1475766
142,1.0689614
143,0.9509399
144,0.8120815
145,0.80738646
146,0.93657714
147,1.0441536
148,1.1211472
149,1.157182
150,1.1651875
151,1.1638987
152,1.1478443
153,1.0961388
154,1.0053518
155,0.88972336
156,0.7483785
157,0.74231255
158,0.87266976
159,0.97530013
160,1.0544146
161,1.1037589
162,1.1233133
163,1.1175992
164,1.0848876
165,1.0211766
166,0.9304943
167,0.8169861
168,0.66574305
169,0.65784574
170,0.79648
171,0.89668936
172,0.97130257
173,1.0204811
174,1.0414478
175,1.0337054
176,0.9973231
177,0.9339809
178,0.8461924
179,0.7279121
180,0.5580931
